Maturity,Strike,Call,Put
0.0119,110.0,143.175,0.005
0.0119,125.0,128.475,0.005
0.0119,135.0,118.5,0.005
0.0119,145.0,110.425,0.005
0.0119,150.0,103.6,0.005
0.0119,155.0,98.55,0.005
0.0119,160.0,93.55,0.005
0.0119,165.0,88.55,0.005
0.0119,170.0,83.575,0.005
0.0119,175.0,78.5,0.005
0.0119,180.0,73.525,0.005
0.0119,185.0,68.5,0.005
0.0119,190.0,63.275,0.005
0.0119,195.0,58.3,0.0
0.0119,200.0,53.725,0.005
0.0119,205.0,48.425,0.005
0.0119,210.0,43.4,0.005
0.0119,212.5,40.7,0.01
0.0119,215.0,38.4,0.015
0.0119,217.5,35.9,0.015
0.0119,220.0,33.425,0.015
0.0119,222.5,30.9,0.015
0.0119,225.0,28.425,0.02
0.0119,227.5,25.975,0.025
0.0119,230.0,23.475,0.025
0.0119,232.5,20.95,0.035
0.0119,235.0,18.525,0.045
0.0119,237.5,15.975,0.065
0.0119,240.0,13.525,0.115
0.0119,242.5,11.15,0.205
0.0119,245.0,8.825,0.395
0.0119,247.5,6.65,0.74
0.0119,250.0,4.725,1.32
0.0119,252.5,3.125,2.23
0.0119,255.0,1.89,3.5
0.0119,257.5,1.09,5.15
0.0119,260.0,0.59,7.2
0.0119,262.5,0.325,9.45
0.0119,265.0,0.175,11.85
0.0119,267.5,0.105,14.15
0.0119,270.0,0.065,16.725
0.0119,272.5,0.035,19.225
0.0119,275.0,0.025,21.825
0.0119,277.5,0.015,24.2
0.0119,280.0,0.015,26.9
0.0119,282.5,0.015,
0.0119,285.0,0.005,31.75
0.0119,287.5,0.005,34.325
0.0119,290.0,0.005,
0.0119,292.5,0.0,
0.0119,295.0,0.005,
0.0119,300.0,0.005,
0.0119,305.0,0.005,51.825
0.0119,310.0,0.005,56.75
0.0119,315.0,0.005,61.625
0.0119,320.0,0.005,
0.0119,325.0,0.005,71.775
0.0397,110.0,143.55,
0.0397,120.0,133.6,0.005
0.0397,135.0,118.675,0.005
0.0397,140.0,113.675,0.005
0.0397,150.0,103.75,0.005
0.0397,160.0,93.7,0.0
